Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2k3ZbF0ETEuoNrkStB7oGa,"Drip Drop","Dripolympics","Money Boy",2020-04-17,165000,44,true,nils-dreher,2025-12-20T09:38:53Z,"german hip hop","21 Ent.",0.923,0.758,5,-6.686,0,0.26,0.0943,0,0.111,0.386,95.523,4
spotify:track:607TgBgbTvP8CTgIHN0R6q,"Nice Girl 2.0","Nice Girl 2.0","Ufo361",2017-06-16,231859,0,false,nils-dreher,2025-12-20T09:40:03Z,"german hip hop,turkish hip hop","Stay High",0.874,0.564,9,-6.991,0,0.0919,0.237,0.00000194,0.0907,0.413,107.983,4
spotify:track:6bN6XXylz4unPfOCBIg0z5,"Kokaina","Casia Deluxe","Miami Yacine",2017-10-13,201979,0,true,nils-dreher,2025-12-20T09:40:38Z,"german hip hop","KMN Gang",0.879,0.521,2,-9.468,1,0.256,0.0648,0,0.134,0.546,132.893,4
spotify:track:2hIY4sjfMeKwXXh2LvhrMo,"Was du Liebe nennst","Powerbausa","Bausa",2018-02-09,203630,61,false,nils-dreher,2025-12-20T09:41:00Z,"german hip hop","WM Germany",0.874,0.487,2,-8.154,1,0.0641,0.393,0.0000296,0.0524,0.746,144.956,4
spotify:track:6JOAAQNp721ZTe48yoX42A,"Babsi Bars","Bitches brauchen Rap","Shirin David",2021-11-18,150840,47,true,nils-dreher,2025-12-20T09:46:02Z,"german hip hop,german pop","Juicy Money Records",0.757,0.586,4,-7.74,0,0.516,0.0402,0,0.309,0.411,138.156,4
spotify:track:592vJ3Bss91JMtKasDA4aX,"Quotentürke","Eksodus","Eko Fresh",2013-08-23,190760,42,true,nils-dreher,2025-12-20T09:50:48Z,"german hip hop,turkish hip hop","Fresh Entertainment",0.853,0.915,2,-4.187,1,0.102,0.162,0,0.0589,0.838,111.961,4
spotify:track:32IKJthM7ARKvGBTZCE1Et,"Du bist Boss","King","Kollegah",2014-05-09,163506,54,true,nils-dreher,2025-12-20T09:54:23Z,"german hip hop","Sony Music Catalog",0.535,0.674,6,-8.202,0,0.326,0.079,0,0.173,0.276,90.998,4
spotify:track:5rywC2PH49hTpJLXxwGlpE,"CASINO","BOSS BITCH","Katja Krasavice",2020-01-17,201548,46,true,nils-dreher,2025-12-20T09:57:11Z,"german hip hop","Katja Krasavice/WM Germany",0.794,0.489,8,-8.341,0,0.084,0.279,0.00000427,0.0966,0.542,155.945,4
spotify:track:1BHgWnOYgtAHhMZU73co1D,"Ohne Dich","EYA","KASIMIR1441;badmómzjay;WILDBWOYS",2021-07-22,125720,51,true,nils-dreher,2025-12-20T09:57:48Z,"german hip hop","Bis Es Klappt Records",0.807,0.535,11,-6.519,0,0.349,0.191,0,0.125,0.925,156.013,4
spotify:track:3FwxpJdlexIR6MeTT56HAm,"Easy","Raop","CRO",2012-07-06,173426,64,true,gemuetlichkeit,2025-12-20T13:00:49Z,"german hip hop,german pop,german indie,german indie pop","BMG Rights Management GmbH",0.834,0.592,7,-6.803,1,0.0346,0.0956,0,0.115,0.953,95.557,4
